date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeTotUSD,HashRate,IssTotUSD,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjUSD,TxTfrValMeanUSD,TxTfrValMedUSD,TxTfrValUSD,VtyDayRet30d,FearAndGreed,Tweets
39816,0,0,0,,,,0,,,,,,,,0,0,0,,,,,,,
39817,0,0,0,,,,0,,,,,,,,0,0,0,,,,,,,
39818,0,0,0,,,,0,,,,,,,,0,0,0,,,,,,,
39819,0,0,0,,,,0,,,,,,,,0,0,0,,,,,,,
39820,0,0,0,,,,0,,,,,,,,0,0,0,,,,,,,
39821,0,0,0,,,,0,,,,,,,,0,0,0,,,,,,,
39822,19,19,4085,215,,,0,1,,9.44495122962963E-7,,,,,950,0,0,,,,,,,
39823,61,61,13129,215.229508196721,,,0,1,,0.00000303232644740741,,,,,4000,0,0,,,,,,,
39824,95,93,20308,218.365591397849,,,0,1,,0.00000462305507555556,,,,,8650,1,1,,,,,,,14470
39825,101,94,21758,231.468085106383,,,0,1,,0.00000467276534518519,,,,,13350,6,6,,,,,,,
39826,123,123,26530,215.691056910569,,,0,1,,0.00000611436316444444,,,,,19500,0,0,,,,,,,
39827,133,129,28276,219.193798449612,,,0,1,,0.00000641262478222222,,,,,25950,1,1,,,,,,,
39828,140,126,30060,238.571428571429,,,0,1,,0.00000626349397333333,,,,,32250,8,7,,,,,,,
39829,114,108,23854,220.87037037037,,,0,1,,0.00000536870912,,,,,37650,2,2,,,,,,,
39830,109,109,23529,215.862385321101,,,0,1,,0.00000541841938962963,,,,,43100,0,0,,,,,,,
39831,111,107,23534,219.943925233645,,,0,1,,0.00000531899885037037,,,,,48450,1,1,,,,,,,
39832,133,115,26782,232.886956521739,,,0,1,,0.00000571668100740741,,,,,54200,2,2,,,,,,,
39833,123,114,25620,224.736842105263,,,0,1,,0.00000566697073777778,,,,,59900,1,1,,,,,,,
39834,116,102,23518,230.56862745098,,,0,1,,0.00000507044750222222,,,,,65000,2,2,,,,,,,1544
39835,95,91,20061,220.450549450549,,,0,1,,0.0000045236345362963,,,,,69550,1,1,,,,,,,
39836,91,84,18830,224.166666666667,,,0,1,,0.00000417566264888889,,,,,73750,1,1,,,,,,,
39837,212,201,44633,222.054726368159,,,0,1,,0.00000999176419555555,,,,,83800,1,1,,,,,,,
39838,193,191,41447,217,,,0,1,,0.00000949466149925926,,,,,93350,1,1,,,,,,,
39839,117,96,23036,239.958333333333,,,0,1,,0.00000477218588444444,,,,,98150,1,1,,,,,,,
